detector_key,detector_name,family,dataset,config_path,weights_path,weight_source,status,status_detail,return_code,device,runtime_sec,acc,auc,eer,ap,video_auc,log_path,command
iid,IID,spatial,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/iid.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/iid__NVIDIA-dataset-mini.log,
rfm,RFM,spatial,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/rfm.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/rfm__Dataset-1-mini.log,
rfm,RFM,spatial,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/rfm.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/rfm__NVIDIA-dataset-mini.log,
sia,SIA,spatial,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/sia.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/sia__Dataset-1-mini.log,
sia,SIA,spatial,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/sia.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/sia__NVIDIA-dataset-mini.log,
sladd,SLADD,spatial,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/sladd_detector.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/sladd__Dataset-1-mini.log,
sladd,SLADD,spatial,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/sladd_detector.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/sladd__NVIDIA-dataset-mini.log,
uia-vit,UIA-ViT,spatial,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/uia_vit.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/uia-vit__Dataset-1-mini.log,
uia-vit,UIA-ViT,spatial,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/uia_vit.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/uia-vit__NVIDIA-dataset-mini.log,
clip,CLIP,spatial,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/clip.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/clip__Dataset-1-mini.log,
clip,CLIP,spatial,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/clip.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/clip__NVIDIA-dataset-mini.log,
sbi,SBI,spatial,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/sbi.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/sbi__Dataset-1-mini.log,
sbi,SBI,spatial,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/sbi.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/sbi__NVIDIA-dataset-mini.log,
pcl-i2g,PCL-I2G,spatial,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/pcl_xception.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/pcl-i2g__Dataset-1-mini.log,
pcl-i2g,PCL-I2G,spatial,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/pcl_xception.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/pcl-i2g__NVIDIA-dataset-mini.log,
multi-attention,Multi-Attention,spatial,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/multi_attention.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/multi-attention__Dataset-1-mini.log,
multi-attention,Multi-Attention,spatial,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/multi_attention.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/multi-attention__NVIDIA-dataset-mini.log,
lsda,LSDA,spatial,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/lsda.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/lsda__Dataset-1-mini.log,
lsda,LSDA,spatial,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/lsda.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/lsda__NVIDIA-dataset-mini.log,
effort,Effort,spatial,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/effort.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/effort__Dataset-1-mini.log,
effort,Effort,spatial,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/effort.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/effort__NVIDIA-dataset-mini.log,
